,rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn
0,-1.7318776111475085,-0.7832134225689712,1115,-0.3262214220367463,0,0,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,-0.9115834940401767,0.646091668153197,0.9702425509371355,0.021886493995386117,1
1,-1.7315312009842627,-0.6065341157737022,1177,-0.4400359548576657,2,0,0.1981638321954454,-1.3875375865624426,0.11735002143511059,-0.9115834940401767,-1.5477679860172513,0.9702425509371355,0.21653375188734025,0
2,-1.731184790821017,-0.9958847606249964,2040,-1.536794180222889,0,0,0.2935174228967471,1.03290776479748,1.3330533457228904,2.52705661927622,0.646091668153197,-1.0306701134001208,0.24068690006348814,1
3,-1.7308383806577712,0.1447665197709291,289,0.5015206348426676,0,0,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,0.8077365626180215,-1.5477679860172513,-1.0306701134001208,-0.10891791702847127,0
4,-1.7304919704945252,0.6526587059742776,1822,2.063883767202561,2,0,0.38887101359804876,-1.0417596792253108,0.7857278997960591,-0.9115834940401767,0.646091668153197,0.9702425509371355,-0.36527578251440274,0
5,-1.7301455603312794,-1.625529828165426,537,-0.05720525355093678,2,1,0.48422460429935044,1.03290776479748,0.5973285944410414,0.8077365626180215,0.646091668153197,-1.0306701134001208,0.8636502870218095,1
6,-1.7297991501680337,-1.368080455080086,177,1.7741740472947665,0,1,1.0563461485071606,0.6871298574603482,-1.2258476714090278,0.8077365626180215,0.646091668153197,0.9702425509371355,-1.5654872211931183,0
7,-1.7294527400047877,-0.4836829839655512,2000,-2.840487919807966,1,0,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,4.246376675934418,0.646091668153197,-1.0306701134001208,0.33485372981012046,1
8,-1.729106329841542,1.4099927681574442,1146,-1.5471409559338818,0,1,0.48422460429935044,-0.35020386455104724,1.0508202865849028,0.8077365626180215,-1.5477679860172513,0.9702425509371355,-0.4373288460949081,0
9,-1.7287599196782961,-1.3700545255470724,1081,0.3463189991777775,0,1,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,-0.9115834940401767,0.646091668153197,0.9702425509371355,-0.49323048409247083,0
10,-1.7284135095150504,1.0687844192721598,195,-1.2677780117370796,0,1,-0.7553720748175714,0.3413519501232164,0.409185402285092,0.8077365626180215,-1.5477679860172513,-1.0306701134001208,-0.34619970089236274,0
11,-1.7280670993518044,0.6427188441158609,83,-1.5885280587778525,2,1,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,0.8077365626180215,0.646091668153197,-1.0306701134001208,-0.412123315592307,0
12,-1.7277206891885586,-0.8157160757507588,1369,-1.8058103487086987,0,0,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,0.8077365626180215,0.646091668153197,-1.0306701134001208,-1.283817056739873,0
13,-1.7273742790253128,0.007540818505990886,515,-1.0504957218062334,0,0,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,0.8077365626180215,-1.5477679860172513,-1.0306701134001208,1.5783569986897874,0
14,-1.727027868862067,-1.251985648954719,2389,-0.1606730106608635,2,0,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,0.8077365626180215,0.646091668153197,0.9702425509371355,-0.5936359656444845,0
15,-1.726681458698821,-0.6530359869854557,1021,-0.3572617491697243,1,1,0.5795781950006521,-0.695981771888179,1.0681029591182611,0.8077365626180215,-1.5477679860172513,0.9702425509371355,-0.6218824846013182,0
16,-1.7263350485355753,0.6465974755263479,2307,0.025568952137004615,1,1,1.8191748741175742,-1.3875375865624426,0.8993931172292712,-0.9115834940401767,0.646091668153197,-1.0306701134001208,-1.651825870574206,1
